iter	Passed	Remaining
0	8	252
1	17	238
2	25	230
3	33	217
4	41	205
5	49	196
6	56	186
7	64	177
8	72	170
9	81	162
10	89	155
11	97	146
12	105	137
13	112	129
14	120	120
15	127	111
16	135	103
17	143	95
18	152	88
19	160	80
20	167	71
21	176	64
22	183	55
23	191	47
24	199	39
25	207	31
26	216	24
27	223	15
28	230	7
29	237	0
